
### Request header
###	request=datos
###	timeStart=2026-01-20
###	timeEnd=2026-05-05
###	seriesId=39718
###	siteCode=7396
###	varId=2
###	format=csv
### Response header
###	responseTimestamp=2026-05-04T10:23:56
###	sitecode=7396
###	seriesid=39718
###	seriesId=39718
###	seriesmetadata=procId:1,varId:2,var_abrev:altura,unit_abrev:m,seriesId:39718,unitId:11,proc_abrev:medicion
###	sitemetadata=geom:coordinates:-62.10138889,-38.89583333,type:Point,estacion_abrev:null,redId:23,siteCode:7396,red_name:Mareógrafos SHN
###	timeStart=20260120T000000
###	request=datos
###	timeEnd=20260505T000000
###	queryUrl=request=datos&timeStart=2026-01-20&timeEnd=2026-05-05&seriesId=39718&siteCode=7396&varId=2&format=csv
###	creationTime=2026-05-04T10:23:56-03:00

### obs_id,timestart,timeend,valor,timeupdate
27323150528,2026-03-19 05:45:00,2026-03-19 05:45:00,3.59,2026-03-19 07:00:23.592608
27323524733,2026-03-19 06:45:00,2026-03-19 06:45:00,3.72,2026-03-19 08:00:21.542892
27323898239,2026-03-19 07:45:00,2026-03-19 07:45:00,3.66,2026-03-19 09:00:23.434199
27324271785,2026-03-19 08:45:00,2026-03-19 08:45:00,3.27,2026-03-19 10:00:20.847457
27324645781,2026-03-19 09:45:00,2026-03-19 09:45:00,2.62,2026-03-19 11:00:23.424009
27325026508,2026-03-19 10:45:00,2026-03-19 10:45:00,1.71,2026-03-19 12:00:25.808414
27325406107,2026-03-19 11:45:00,2026-03-19 11:45:00,0.94,2026-03-19 13:00:21.131385
27325779045,2026-03-19 12:45:00,2026-03-19 12:45:00,0.52,2026-03-19 14:00:20.251485
27326152058,2026-03-19 13:45:00,2026-03-19 13:45:00,0.74,2026-03-19 15:00:17.551976
27326525226,2026-03-19 14:45:00,2026-03-19 14:45:00,1.48,2026-03-19 16:00:17.249426
27326897534,2026-03-19 15:45:00,2026-03-19 15:45:00,2.33,2026-03-19 17:00:17.33112
27327276217,2026-03-19 16:45:00,2026-03-19 16:45:00,3.18,2026-03-19 18:00:17.962769
27327656282,2026-03-19 17:45:00,2026-03-19 17:45:00,3.72,2026-03-19 19:00:16.835337
27328029483,2026-03-19 18:45:00,2026-03-19 18:45:00,3.89,2026-03-19 20:00:18.051965
27328401893,2026-03-19 19:45:00,2026-03-19 19:45:00,3.87,2026-03-19 21:00:17.612605
27328774458,2026-03-19 20:45:00,2026-03-19 20:45:00,3.65,2026-03-19 22:00:17.404893
27329147181,2026-03-19 21:45:00,2026-03-19 21:45:00,3.12,2026-03-19 23:00:17.087773
27329527220,2026-03-19 22:45:00,2026-03-19 22:45:00,2.36,2026-03-20 00:00:18.809307
27329703619,2026-03-19 23:45:00,2026-03-19 23:45:00,1.48,2026-03-20 01:00:47.243514
27330279642,2026-03-20 00:45:00,2026-03-20 00:45:00,0.83,2026-03-20 02:00:21.580521
27330652588,2026-03-20 01:45:00,2026-03-20 01:45:00,0.83,2026-03-20 03:00:43.153751
27331026145,2026-03-20 02:45:00,2026-03-20 02:45:00,1.46,2026-03-20 04:00:21.665661
27331398880,2026-03-20 03:45:00,2026-03-20 03:45:00,2.15,2026-03-20 05:00:22.636237
27331778125,2026-03-20 04:45:00,2026-03-20 04:45:00,3.05,2026-03-20 06:00:22.136428
27332157638,2026-03-20 05:45:00,2026-03-20 05:45:00,3.65,2026-03-20 07:00:19.365487
27332531269,2026-03-20 06:45:00,2026-03-20 06:45:00,3.98,2026-03-20 08:00:17.951036
27332903533,2026-03-20 07:45:00,2026-03-20 07:45:00,4.13,2026-03-20 09:00:19.05184
27333275481,2026-03-20 08:45:00,2026-03-20 08:45:00,3.97,2026-03-20 10:00:17.883939
